FEMALE ID,ReproYears ,SurvivingCalves,sightings,deepP,channelP,shallowP,deepSR,channelSR,shallowSR,tracking time
DF1,19,3,79,0.721518987,0.202531646,0.037974684,2.219061552,0.585257868,0.115494464,13.88493151
DF2,15,2,31,0.580645161,0.032258065,0.322580645,1.785798261,0.093216475,0.981082002,10.09589041
DF3,20,3,15,0.466666667,0.266666667,0.266666667,1.435252676,0.770589526,0.811027788,12.74520548
DF4,14,1,16,0.375,0,0.375,1.153328043,0,1.140507827,11.33972603
DF5,10,1,76,0.960526316,0,0.013157895,2.954138497,0,0.040017818,18.6109589
DF6,20,4,31,0.516129032,0.064516129,0.290322581,1.587376232,0.18643295,0.882973802,17.82465753
DF7,4,1,9,0.666666667,0,0.222222222,2.050360966,0,0.67585649,13.25479452
DF8,25,3,80,0.9125,0.0125,0.0375,2.806431572,0.036121384,0.114050783,24.04931507
DF9,27,3,115,0.904347826,0.017391304,0.026086957,2.781359224,0.050255839,0.079339675,26.20273973
DF10,14,0,24,0.791666667,0.041666667,0.166666667,2.434803647,0.120404613,0.506892368,18.43835616
DF11,11,1,84,0.023809524,0.773809524,0.083333333,0.073227177,2.236085678,0.253446184,15.81917808
DF12,20,2,36,1,0,0,3.075541449,0,0,11.77534247
DF13,32,5,64,0,0.796875,0.171875,0,2.302738232,0.522732754,17.8630137
DF14,39,3,235,0.4,0.246808511,0.153191489,1.23021658,0.7132052,0.46590958,29
DF15,13,2,63,0.015873016,0.19047619,0.555555556,0.048818118,0.55042109,1.689641225,17.09589041
DF16,13,0,18,0,0.333333333,0.555555556,0,0.963236908,1.689641225,19.17260274
DF17,6,0,9,0,0.222222222,0.777777778,0,0.642157938,2.365497715,18.93424658
DF18,22,3,7,0.428571429,0,0,1.318089192,0,0,15.98630137
DF19,6,0,54,0.055555556,0.87037037,0.074074074,0.170863414,2.515118592,0.225285497,12.85753425
DF20,23,4,89,0.011235955,0.842696629,0.123595506,0.034556645,2.435149485,0.375897711,19.98356164
DF21,32,4,49,0.387755102,0,0.326530612,1.192556888,0,0.993095251,21.9260274
DF22,15,2,4,0.5,0,0.25,1.537770725,0,0.760338551,6.904109589
DF23,11,1,367,0.395095368,0.128065395,0.280653951,1.21513218,0.370071945,0.853568074,18.31506849
DF24,16,1,63,0.920634921,0.031746032,0,2.831450858,0.091736848,0,11.11780822
DF25,12,1,19,0,0.894736842,0.052631579,0,2.585530647,0.160071274,9.287671233
DF26,34,3,244,0.049180328,0.766393443,0.118852459,0.151256137,2.214655349,0.361472426,27.33150685
DF27,9,1,49,0.714285714,0.183673469,0.040816327,2.196815321,0.530763194,0.124136906,20.27671233
DF28,6,0,18,0.166666667,0.277777778,0.5,0.512590242,0.802697423,1.520677103,6.145205479
DF29,17,2,13,0.923076923,0.076923077,0,2.838961338,0.22228544,0,11.37534247
DF30,6,1,5,1,0,0,3.075541449,0,0,11.95890411
DF31,7,1,11,0.090909091,0.181818182,0.545454545,0.279594677,0.52540195,1.658920476,8.147945205
DF32,13,1,16,0.25,0,0,0.768885362,0,0,14.81643836
DF33,5,1,38,0,0.394736842,0.394736842,0,1.140675285,1.200534555,14.03561644
DF34,11,1,80,0,0.7625,0.2,0,2.203404426,0.608270841,19.03013699
DF35,16,1,25,0,0.44,0.52,0,1.271472718,1.581504187,14.48493151
DF36,5,1,8,0.125,0.625,0.125,0.384442681,1.806069202,0.380169276,11.87123288
DF37,16,1,42,0.904761905,0.071428571,0,2.78263274,0.206407909,0,21.8739726
DF38,18,2,73,0.931506849,0.04109589,0,2.864887925,0.118755235,0,18.29041096
DF39,13,1,28,0.892857143,0.035714286,0.071428571,2.746019151,0.103203954,0.217239586,13.90136986
DF40,22,4,50,0.02,0.32,0.46,0.061510829,0.924707431,1.399022935,13.03835616
DF41,10,1,34,0.058823529,0.558823529,0.264705882,0.180914203,1.614838345,0.805064349,12.04109589
DF42,6,0,7,0.428571429,0.142857143,0.428571429,1.318089192,0.412815818,1.303437517,6.589041096
DF43,10,1,149,0.046979866,0.697986577,0.100671141,0.144488524,2.016979296,0.306176598,19.69041096
DF44,12,1,3,0,0.333333333,0.666666667,0,0.963236908,2.02756947,1.835616438
DF45,5,0,11,0.090909091,0.090909091,0.181818182,0.279594677,0.262700975,0.552973492,0.956164384
DF46,6,0,23,0.695652174,0.173913043,0.043478261,2.139507095,0.502558387,0.132232792,8.153424658
DF47,18,2,92,0.25,0.02173913,0.282608696,0.768885362,0.062819798,0.859513145,3.345205479
DF48,11,0,12,0.25,0,0.166666667,0.768885362,0,0.506892368,13.97534247
DF49,11,1,19,1,0,0,3.075541449,0,0,11.52328767
DF50,15,0,124,0.217741935,0.60483871,0.10483871,0.669674348,1.747808905,0.318851651,21.94246575
DF51,8,1,44,0.022727273,0.613636364,0.272727273,0.069898669,1.77323158,0.829460238,11.83561644
DF52,26,2,23,0.913043478,0.043478261,0,2.808103062,0.125639597,0,27.02465753
DF53,8,1,6,0,0.666666667,0.333333333,0,1.926473815,1.013784735,6.010958904
DF54,20,1,31,0.709677419,0.096774194,0.064516129,2.182642319,0.279649425,0.1962164,15.86027397
DF55,18,1,13,1,0,0,3.075541449,0,0,15.20547945
DF56,23,2,257,0.089494163,0.684824903,0.155642023,0.275243009,1.978945865,0.473362522,29.03835616
DF57,17,3,66,0.742424242,0.106060606,0.090909091,2.28335653,0.306484471,0.276486746,8.468493151
DF58,19,0,162,0.641975309,0.172839506,0.092592593,1.974421671,0.499456174,0.281606871,14.74520548
DF59,11,2,14,0.571428571,0.285714286,0,1.757452257,0.825631635,0,14.77808219
DF60,7,1,204,0.039215686,0.735294118,0.171568627,0.120609469,2.124787296,0.521800967,17.16164384
DF61,5,1,9,1,0,0,3.075541449,0,0,4.561643836
DF62,9,1,11,0,0.727272727,0.181818182,0,2.101607798,0.552973492,5.331506849
DF63,16,0,79,0.772151899,0.139240506,0.025316456,2.37478517,0.402364784,0.076996309,23.1260274
DF64,18,2,61,0.803278689,0,0.06557377,2.470516902,0,0.199433063,17.87123288
DF65,8,1,91,0.549450549,0.153846154,0.054945055,1.689857939,0.44457088,0.167107374,17.36986301
DF66,15,0,3,1,0,0,3.075541449,0,0,6.635616438
DF67,35,7,162,0.197530864,0.456790123,0.166666667,0.60751436,1.319991318,0.506892368,28.21917808
DF68,8,1,2,1,0,0,3.075541449,0,0,9.224657534
DF69,14,3,65,0.415384615,0.046153846,0.369230769,1.277532602,0.133371264,1.122961553,11.97534247
DF70,10,1,21,0.047619048,0.380952381,0.523809524,0.146454355,1.10084218,1.593090298,8.701369863
DF71,18,1,24,0,0.75,0.25,0,2.167283042,0.760338551,11.79452055
DF72,9,1,19,0.684210526,0.105263158,0.157894737,2.104317834,0.304180076,0.480213822,5.084931507
DF73,8,1,4,0.75,0,0.25,2.306656087,0,0.760338551,5.068493151
DF74,23,0,369,0.490514905,0.075880759,0.287262873,1.508598922,0.219273442,0.873668146,16.65205479
DF75,15,1,10,1,0,0,3.075541449,0,0,14.9369863
DF76,6,1,2,0,0.5,0.5,0,1.444855361,1.520677103,0.084931507
DF77,17,0,18,0,0.722222222,0.166666667,0,2.0870133,0.506892368,15.96438356
DF78,15,1,10,0.8,0,0.2,2.460433159,0,0.608270841,16.20273973
DF79,28,4,28,0.928571429,0.071428571,0,2.855859917,0.206407909,0,23.20273973
DF80,11,2,27,0.407407407,0.148148148,0.259259259,1.252998368,0.428105292,0.788499238,9.726027397
DF81,15,0,238,0.495798319,0.142857143,0.168067227,1.524848281,0.412815818,0.511151967,20.00273973
DF82,20,3,51,0.411764706,0,0.352941176,1.26639942,0,1.073419131,21.27671233
DF83,12,0,19,0,0.263157895,0.578947368,0,0.76045019,1.760784014,11.40273973
DF84,12,0,28,0.821428571,0.107142857,0,2.526337619,0.309611863,0,19.17260274
DF85,14,2,52,0.865384615,0.096153846,0,2.661526254,0.2778568,0,19.2
DF86,6,0,10,0,0,0.8,0,0,2.433083364,6.652054795
DF87,23,0,130,0.830769231,0.061538462,0.015384615,2.555065204,0.177828352,0.046790065,27.30684932
DF88,20,1,79,0.810126582,0.037974684,0.050632911,2.491577883,0.10973585,0.153992618,20.14794521
DF89,21,4,16,0,0,1,0,0,3.041354206,19.91506849
DF90,6,0,74,0.445945946,0.175675676,0.162162162,1.371525241,0.507651884,0.493192574,5.224657534
DF91,11,1,117,0.076923077,0.743589744,0.102564103,0.236580111,2.148759255,0.311933765,19.18630137
DF92,16,3,8,0.375,0.375,0,1.153328043,1.083641521,0,9.120547945
DF93,11,1,42,0.904761905,0.047619048,0.047619048,2.78263274,0.137605273,0.144826391,10.52054795
DF94,27,4,23,0.043478261,0.043478261,0.913043478,0.133719193,0.125639597,2.776888622,19.15342466
DF95,6,0,46,0.02173913,0.456521739,0.369565217,0.066859597,1.319215765,1.123978728,16.01369863
DF96,22,4,23,0,0.695652174,0.086956522,0,2.010233546,0.264465583,13.88767123
DF97,33,6,138,0.028985507,0.826086957,0.086956522,0.089146129,2.387152336,0.264465583,25.05479452
DF98,14,1,55,0.163636364,0.509090909,0.236363636,0.503270419,1.471125459,0.718865539,9.232876712
DF99,7,0,52,0.326923077,0.019230769,0.442307692,1.005465474,0.05557136,1.34521436,15.87945205
DF100,11,0,35,0.057142857,0.428571429,0.4,0.175745226,1.238447453,1.216541682,14.89589041
DF101,24,0,105,0.028571429,0.447619048,0.342857143,0.087872613,1.293489562,1.042750013,22.34794521
DF102,10,0,23,0,0.304347826,0.52173913,0,0.879477176,1.586793499,11.90410959
DF103,14,1,25,0.04,0.08,0.84,0.123021658,0.231176858,2.554737533,19.31506849
DF104,15,1,50,0.62,0.08,0.18,1.906835698,0.231176858,0.547443757,11.44109589
DF105,21,3,96,0.25,0.052083333,0.354166667,0.768885362,0.150505767,1.077146281,7.076712329
DF106,10,1,14,0.714285714,0.071428571,0.214285714,2.196815321,0.206407909,0.651718758,12.6109589
DF107,20,3,59,0.016949153,0.288135593,0.542372881,0.052127821,0.832628513,1.649548044,17.79178082
DF108,10,1,61,0.147540984,0.393442623,0.278688525,0.453768411,1.136935366,0.847590516,19.6739726
DF109,16,0,79,0.164556962,0.443037975,0.291139241,0.506101757,1.280251586,0.885457554,16.45479452
DF110,8,1,12,0.083333333,0.666666667,0.166666667,0.256295121,1.926473815,0.506892368,8.969863014
DF111,10,0,25,0,0.16,0.64,0,0.462353716,1.946466692,15.17534247
DF112,22,3,51,0.921568627,0,0.019607843,2.834322512,0,0.059634396,21.90410959
DF113,14,2,69,0.014492754,0.594202899,0.347826087,0.044573064,1.717074487,1.057862332,20.03561644
DF114,13,1,12,0.083333333,0,0.666666667,0.256295121,0,2.02756947,10.11780822
DF115,18,2,34,0,0.176470588,0.323529412,0,0.509948951,0.983967537,11.44383562
DF116,29,3,174,0.074712644,0.649425287,0.109195402,0.229781832,1.876651216,0.332101896,28.09589041
DF117,7,1,6,0.5,0.333333333,0.166666667,1.537770725,0.963236908,0.506892368,10.71232877
DF118,18,3,7,0.857142857,0.142857143,0,2.636178385,0.412815818,0,14.1890411
DF119,19,4,645,0.286821705,0.071317829,0.392248062,0.882132044,0.206087896,1.192965293,19.03835616
DF120,13,1,43,0,0.813953488,0.162790698,0,2.352090123,0.495104173,13.85479452
DF121,11,1,11,0.818181818,0.090909091,0.090909091,2.516352095,0.262700975,0.276486746,7.712328767
DF122,25,3,47,0,0.829787234,0.14893617,0,2.397845068,0.452967648,15.83287671
DF123,9,1,10,0.5,0,0.4,1.537770725,0,1.216541682,2.621917808
